crn,response,instructor
10685,except for the ta office hours we did not have any online class sessions,"Pavlu, Virgil"
10685,quite good,"Pavlu, Virgil"
10685,the online resources provided such as the videos and the slides were really helpful to revise the concepts after lectures and covered all the topics in class,"Pavlu, Virgil"
10685,the questions on piazza were not always answered there were a lot of open ended questions it would have been awesome if tas could make sure the questions on piazza were addressed,"Pavlu, Virgil"
10685,the online code demos were well run and instructors generally showed up to the assigned slot,"Pavlu, Virgil"
10685,the course website is useful and has lots of relevant links but almost too many near the start of the semester i was confused with what resources were actually helpful and which were just there for futurereference maybe the layout could be changed or a more detailed explanation could be added in addition to the preexisting discussion on the first day of class posts on piazza were generally responded toslower than in other classes,"Pavlu, Virgil"
30569,no online classes were available and the classes were not recorded,"Tsekourakis, Iraklis"
30569,the tas were knowledgable but there was no online environment as such as the course was classroomonly,"Tsekourakis, Iraklis"
30569,i attend to the class in person,"Tsekourakis, Iraklis"
30569,lecture notes were uploaded on canvas and easy to access otherwise the course was taught in person,"Tsekourakis, Iraklis"
30569,na,"Tsekourakis, Iraklis"
30569,lecture slides were always posted to canvas and piazza made it easy to get timely answers to questions for the homework,"Tsekourakis, Iraklis"
30569,great,"Tsekourakis, Iraklis"
30569,great course,"Tsekourakis, Iraklis"
30569,questions were answered at a reasonable rate through piazza,"Tsekourakis, Iraklis"
30569,good class good professor he is strict at times but everything is fair the course followed closely with the required textbook so as long as you go to classes and do practice problems in the book you shoulddo well in this class the lectures were nice too although i might not recommend the 3hourlong section its a lot to process in one sitting overall i highly recommend his class,"Tsekourakis, Iraklis"
30569,piazza is a good way to ask questions,"Tsekourakis, Iraklis"
30569,piazza was good and helpful,"Tsekourakis, Iraklis"
37414,the course was quite difficult for me i had to dedicate around 50 hours each week apart from lectures for the assignment labs and codewalks i personally felt the difficulty level of the course was high,"Shesh, Amit"
37414,overall the experience was really good i found it to be very informative,"Shesh, Amit"
37414,the course itself was quite intense and challenging which in turn motivated and pushed me to give my best i learned a lot through this course and would like to thank the professor for his guidance and help,"Shesh, Amit"
37414,my only criticism is that the only way to keep track of the many assignments due each week is a calendar on the syllabus page in canvas it couldve been more clear where this was some of theassignments are on canvas some on handins and handins doesnt notify you when things have been graded,"Shesh, Amit"
37414,the online piazza form is very good the content is great as well,"Shesh, Amit"
37414,the course is very well structured and provides a complete idea about the design patterns to structure the code that is written it covers all concepts required to be able to follow better coding practicesand helps visualize realworld scenarios to understand the use case,"Shesh, Amit"
37414,the notes provided on canvas are detailed and sufficient it is easy to navigate the online course materials,"Shesh, Amit"
37414,its good,"Shesh, Amit"
37414,na,"Shesh, Amit"
37414,instructor is very smart and know stuff he cares about his student and very happy to answer his students any questions even the questions are very stupid id like to take another class ive taught if theworkload is not that insane,"Shesh, Amit"
37414,office hours and piazza were the way for online environment and it was very good and helpful,"Shesh, Amit"
37414,the online course was as good as onsite course,"Shesh, Amit"
37414,the online course environment provided a convenient and accessible platform for learning offering flexibility in managing coursework alongside other responsibilities the inclusion of collaborative projectswas a strong point enhancing learning through teamwork and practical application of course materials however the platform could benefit from more dynamic and interactive elements such as realtimequizzes these quizzes could serve as an engaging way to reinforce learning and assess understanding continuously additionally the discussion forums felt underutilized with minimal facilitation from theinstructor to encourage deeper dialogue among peers enhancing these aspects of the course would make the online environment more engaging and supportive promoting a more comprehensive andinteractive learning experience,"Shesh, Amit"
37414,prof shesh recorded each lecture but i attended in person he had two recorded lectures which we watched due to his travel but those were special circumstances,"Shesh, Amit"
37414,very useful tas were available online to help with any sort of question,"Shesh, Amit"
37414,loved the khoury office hours tools i was always able to interact with a ta available whenever i was stuck,"Shesh, Amit"
41152,very good,"Penarrieta, Cristian"
41152,not very good experience for beginners in web development firstly the difficulty range of each assignment is too broad the initial quizzes are very simple but the difficulty increases progressively making ithard for beginners to keep up the recordings are only one hour each and even after watching and keeping notes there isnt simple to complete the later assignments well secondly the tas arent thoroughin grading the assignments and do not clarify the specific reasons for mistakes lastly for beginners if the assignments are not completed perfectly a lot of points are deducted yet there are no remedialmeasures typically other instructors offering this course provide extra credit but this instructor does not this is the only course in which ive received a b since coming to northeastern university,"Penarrieta, Cristian"
41152,great course great videos,"Penarrieta, Cristian"
41152,good,"Penarrieta, Cristian"
41152,the online videos and material was extremely helpful,"Penarrieta, Cristian"
41152,very well,"Penarrieta, Cristian"
41152,good professor cristian always teaches handson techniques and give us related assignments to practice we can learn new things in the lessons and ask questions through recitations,"Penarrieta, Cristian"
36915,the materials provided by prof jose are amazing and are really useful while preparing for job interviews,"Annunziato, Jose"
36915,not often but effective the professor recaps the previous class very well before moving onto that days topics makes resources readily available,"Annunziato, Jose"
36915,piazza question responses were helpful in troubleshooting common homework typosproblems i didnt use much oh support however i noticed a lot of students in piazza having difficulty getting in touchtas during their scheduled oh slots,"Annunziato, Jose"
36915,very well structured course and professor annunziato really knows his stuff,"Annunziato, Jose"
36915,love the recording makes it possible for me to review the part i got lost in the lecture,"Annunziato, Jose"
36915,there was way too much handholding giving the student almost every bit of code required to finish the course leads to them not learning the ability to searchdebug i come to this conclusion due to 1 i have been a ta for studentsin other courses where students have come to expect the same and find it difficult2 i personally lose motivation to do something when everything is handed to me straight,"Annunziato, Jose"
