courseReferenceNumber,campusDescription,courseTitle,subjectCourse,facultyName
10723,Online,Computer Science and Its Applications,CS1100,"Lieberherr, Karl"
13101,Boston,Lab for CS 1100,CS1101,"Lieberherr, Karl"
13103,Boston,Lab for CS 1100,CS1101,"Lieberherr, Karl"
13104,Boston,Lab for CS 1100,CS1101,"Lieberherr, Karl"
21701,Online,First Year Seminar,CS1200,"Gonzalez, Alexander"
11409,Online,Professional Development for Khoury Co-op,CS1210,"Schwab, Garrett"
11857,Online,Professional Development for Khoury Co-op,CS1210,"Haycook, Charles"
11695,Online,Professional Development for Khoury Co-op,CS1210,"Abdulle, Anis"
11705,Online,Professional Development for Khoury Co-op,CS1210,"Mauristhene, Ernest"
11858,Online,Professional Development for Khoury Co-op,CS1210,"Rosenberg, Lauren"
11909,Online,Professional Development for Khoury Co-op,CS1210,"Starzec, Amy"
12102,Online,Professional Development for Khoury Co-op,CS1210,"Dell, Sara"
12103,Online,Professional Development for Khoury Co-op,CS1210,"Ballantyne, Jordan"
12329,Online,Professional Development for Khoury Co-op,CS1210,"Hill, Victoria"
14588,Online,Professional Development for Khoury Co-op,CS1210,"Mauristhene, Ernest"
15448,Online,Professional Development for Khoury Co-op,CS1210,"Haycook, Charles"
15449,Online,Professional Development for Khoury Co-op,CS1210,"Ballantyne, Jordan"
17199,Boston,Discrete Structures,CS1800,"Pavlu, Virgil"
10314,Boston,Discrete Structures,CS1800,"Higger, Matthew"
11769,Boston,Discrete Structures,CS1800,"Hamlin, Ariel"
14684,Boston,Discrete Structures,CS1800,"Higger, Matthew"
19559,Boston,Discrete Structures,CS1800,"Hamlin, Ariel"
20158,"Oakland, CA",Discrete Structures,CS1800,"Konrad, Almudena"
20159,"Oakland, CA",Discrete Structures,CS1800,"Konrad, Almudena"
20160,"Oakland, CA",Discrete Structures,CS1800,"Fuentes-Cabrera, Miguel"
20161,"Oakland, CA",Discrete Structures,CS1800,"Wang, Susan"
12330,Boston,Seminar for CS 1800,CS1802,"Pavlu, Virgil"
12331,Boston,Seminar for CS 1800,CS1802,"Pavlu, Virgil"
12336,Boston,Seminar for CS 1800,CS1802,"Jones, Matthew"
12337,Boston,Seminar for CS 1800,CS1802,"Jones, Matthew"
12338,Boston,Seminar for CS 1800,CS1802,"Ithier, Carter"
12339,Boston,Seminar for CS 1800,CS1802,"Ithier, Carter"
12340,Boston,Seminar for CS 1800,CS1802,"Jones, Matthew"
16086,Boston,Seminar for CS 1800,CS1802,"Jones, Matthew"
16109,Boston,Seminar for CS 1800,CS1802,"Stern, Jesse"
16108,Boston,Seminar for CS 1800,CS1802,"Ithier, Carter"
20162,"Oakland, CA",Seminar for CS 1800,CS1802,"Farahmand Asil, Maryam"
20163,"Oakland, CA",Seminar for CS 1800,CS1802,"Wang, Susan"
20165,"Oakland, CA",Seminar for CS 1800,CS1802,"Farahmand Asil, Maryam"
20166,"Oakland, CA",Seminar for CS 1800,CS1802,"Wang, Susan"
20167,"Oakland, CA",Seminar for CS 1800,CS1802,"Wang, Susan"
20168,"Oakland, CA",Seminar for CS 1800,CS1802,"Farahmand Asil, Maryam"
20169,"Oakland, CA",Seminar for CS 1800,CS1802,"Wang, Susan"
20170,"Oakland, CA",Seminar for CS 1800,CS1802,"Farahmand Asil, Maryam"
13571,Boston,Seminar for CS 1800,CS1802,"Stern, Jesse"
13572,Boston,Seminar for CS 1800,CS1802,"Ithier, Carter"
13573,Boston,Seminar for CS 1800,CS1802,"Higger, Matthew"
13984,Boston,Seminar for CS 1800,CS1802,"Higger, Matthew"
14318,Boston,Seminar for CS 1800,CS1802,"Amor-Tijani, Ghita"
14321,Boston,Seminar for CS 1800,CS1802,"Higger, Matthew"
14322,Boston,Seminar for CS 1800,CS1802,"Amor-Tijani, Ghita"
14324,Boston,Seminar for CS 1800,CS1802,"Higger, Matthew"
14327,Boston,Seminar for CS 1800,CS1802,"Ithier, Carter"
14328,Boston,Seminar for CS 1800,CS1802,"Amor-Tijani, Ghita"
14330,Boston,Seminar for CS 1800,CS1802,"Amor-Tijani, Ghita"
